Nome Corso,Link,Descrizione per IA
ECONOMIA AZIENDALE,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/economia-aziendale-0,"Il corso di studi in Economia Aziendale forma laureati con ampia conoscenza teorico-pratica dei principali processi di governo delle imprese, delle organizzazioni non profit e delle amministrazioni pubbliche. Il corso è infatti finalizzato allo studio della struttura aziendale (come nascono e come si organizzano le imprese), nonché del loro funzionamento (come vengono gestite). La Laurea in Economia Aziendale è contraddistinta da un approccio multidisciplinare, volto a garantire la capacità di analisi e soluzione delle problematiche aziendali organizzative, gestionali ed informative. I profili affrontati sono sia quelli matematico-statistici sia quelli giuridici, economici e sociali. Il corso di laurea triennale in ECONOMIA AZIENDALE del Dipartimento di Management prevede il numero programmato, pertanto tutti gli studenti interessati a immatricolarsi al corso di laurea, dovranno sostenere il Test Online CISIA (in lingua italiana TOLC-E) e successivamente partecipare al concorso per l'ammissione al corso di laurea (il concorso non prevede che lo studente sostenga ulteriori prove selettive, la procedura consiste nella formazione di una graduatoria sulla base del punteggio conseguito nel TOLC-E). Per coloro che si iscrivono al corso di studio avendo conseguito nel TOLC-E un punteggio del test inferiore a 12 e un punteggio inferiore a 4 nella sezione di 'Matematica' saranno previsti dalla struttura didattica competente obblighi formativi aggiuntivi che consistono nel superamento dell'esame di “OFA – Matematica”. Gli studenti che si iscriveranno al corso di laurea in Economia Aziendale e che siano in difetto di quanto sopra riceveranno apposita mail con le istruzioni per il sostenimento dell'Obbligo formativo aggiuntivo di matematica."
ECONOMIA AZIENDALE,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/economia-aziendale-1,"Il corso di studi in Economia Aziendale forma laureati con ampia conoscenza teorico-pratica dei principali processi di governo delle imprese, delle organizzazioni non profit e delle amministrazioni pubbliche. Il corso è infatti finalizzato allo studio della struttura aziendale (come nascono e come si organizzano le imprese), nonché del loro funzionamento (come vengono gestite). La Laurea in Economia Aziendale è contraddistinta da un approccio multidisciplinare, volto a garantire la capacità di analisi e soluzione delle problematiche aziendali organizzative, gestionali ed informative. I profili affrontati sono sia quelli matematico-statistici sia quelli giuridici, economici e sociali. Il corso di laurea triennale in ECONOMIA AZIENDALE del Dipartimento di Management prevede il numero programmato, pertanto tutti gli studenti interessati a immatricolarsi al corso di laurea, dovranno sostenere il Test Online CISIA (in lingua italiana TOLC-E) e successivamente partecipare al concorso per l'ammissione al corso di laurea (il concorso non prevede che lo studente sostenga ulteriori prove selettive, la procedura consiste nella formazione di una graduatoria sulla base del punteggio conseguito nel TOLC-E). Per coloro che si iscrivono al corso di studio avendo conseguito nel TOLC-E un punteggio del test inferiore a 12 e un punteggio inferiore a 4 nella sezione di 'Matematica' saranno previsti dalla struttura didattica competente obblighi formativi aggiuntivi che consistono nel superamento dell'esame di “OFA – Matematica”. Gli studenti che si iscriveranno al corso di laurea in Economia Aziendale e che siano in difetto di quanto sopra riceveranno apposita mail con le istruzioni per il sostenimento dell'Obbligo formativo aggiuntivo di matematica."
ECONOMIA AZIENDALE,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/economia-aziendale,"Il corso di studi in Economia Aziendale forma laureati con ampia conoscenza teorico-pratica dei principali processi di governo delle imprese, delle organizzazioni non profit e delle amministrazioni pubbliche. Il corso è infatti finalizzato allo studio della struttura aziendale (come nascono e come si organizzano le imprese), nonché del loro funzionamento (come vengono gestite). La Laurea in Economia Aziendale è contraddistinta da un approccio multidisciplinare, volto a garantire la capacità di analisi e soluzione delle problematiche aziendali organizzative, gestionali ed informative. I profili affrontati sono sia quelli matematico-statistici sia quelli giuridici, economici e sociali. Il corso di laurea triennale in ECONOMIA AZIENDALE del Dipartimento di Management prevede il numero programmato, pertanto tutti gli studenti interessati a immatricolarsi al corso di laurea, dovranno sostenere il Test Online CISIA (in lingua italiana TOLC-E) e successivamente partecipare al concorso per l'ammissione al corso di laurea (il concorso non prevede che lo studente sostenga ulteriori prove selettive, la procedura consiste nella formazione di una graduatoria sulla base del punteggio conseguito nel TOLC-E). Per coloro che si iscrivono al corso di studio avendo conseguito nel TOLC-E un punteggio del test inferiore a 12 e un punteggio inferiore a 4 nella sezione di 'Matematica' saranno previsti dalla struttura didattica competente obblighi formativi aggiuntivi che consistono nel superamento dell'esame di “OFA – Matematica”. Gli studenti che si iscriveranno al corso di laurea in Economia Aziendale e che siano in difetto di quanto sopra riceveranno apposita mail con le istruzioni per il sostenimento dell'Obbligo formativo aggiuntivo di matematica."
"ECONOMIA DELL'AMBIENTE, DELLA CULTURA E DEL TERRITORIO",https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/economia-dellambiente-della-cultura-e-del-territorio,"Il Corso di Laurea Magistrale Interateneo in “Economia dell'ambiente, della cultura e del territorio” (EACT) ha l'obiettivo di formare soggetti dotati di una visione scientifica adeguata alla complessità delle relazioni tra attività economiche, l'ambito giuridico in cui esse si svolgono, l'ambiente e i contesti culturali e territoriali. Il Corso si caratterizza per un forte approccio interdisciplinare: comprende discipline economiche, statistiche, giuridiche, gestionali, sociali, storiche, ingegneristiche, geografiche e di pianificazione. Il Corso di Laurea Magistrale è un corso di studi biennale avanzato e multidisciplinare offerto in collaborazione, a partire dall'a.a. 2021-22, dall'Università degli Studi di Torino e dal Politecnico di Torino. Il titolo di Laurea Magistrale conseguito dalle nostre studentesse e studenti è dunque un titolo rilasciato congiuntamente dai due Atenei torinesi. I Dipartimenti che compongono l'offerta didattica di EACT sono il Dipartimento di Economia e Statistica (EST, UniTO), il Dipartimento Interateneo di Scienze, Progetto e Politiche del Territorio (DIST, UniTO e POliTO) e il Dipartimento di Ingegneria dell'Ambiente, del Territorio e delle Infrastrutture (DIATI, PoliTO). La dimensione Interateneo è volta ad arricchire l'offerta formativa sul piano didattico, attraverso il coordinamento dei programmi di studio su temi integrati e condivisi. L'integrazione con insegnamenti e settori scientifico-disciplinari del Politecnico di Torino interessa sia alcuni insegnamenti caratterizzanti del primo anno sia una rosa ampia di scelte di corsi affini del secondo anno. Inoltre, sul piano scientifico, lo sviluppo di ricerche condivise permette alle studentesse e agli studenti di elaborare le tesi finali in un contesto realmente interdisciplinare. EACT offre alle studentesse e agli studenti la possibilità di conseguire una specializzazione altamente professionalizzante per l'analisi economica e la formulazione di politiche in ambiti di grande attualità, scegliendo tra due diversi percorsi curriculari:"
ECONOMIA E MANAGEMENT,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/economia-e-management,"Il CdLM in Economia e Management forma economisti applicati in grado di ricoprire incarichi manageriali di alto livello in imprese private e pubbliche, offrendo una profonda conoscenza del modo in cui le imprese e i mercati operano, nonché un mix di competenze analitiche, quantitative e interdisciplinari necessarie per operare come manager ed economista di successo in ambito sia nazionale che internazionale. Il percorso formativo è in grado di offrire un'eccellente formazione analitica in ambito economico combinata con competenze applicate tipiche di una laurea in management. Il CdLM in Economia e Management mira a formare laureati magistrali in grado di comprendere e contribuire alla gestione della strategia aziendale, e all'analisi dei mercati e dei contesti internazionali in cui le imprese operano. • Innovation Strategies in Global Trends' focalizzato sull' innovazione dei processi, sull'internazionalizzazione e sulla riconfigurazione delle attività dell'impresa a livello globale;"
ECONOMIA E STATISTICA PER LE ORGANIZZAZIONI,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/economia-e-statistica-le-organizzazioni,"Il corso di Laurea in Economia e Statistica per le Organizzazioni si propone di formare studenti che sappiano interpretare la complessità delle relazioni economiche tramite l'utilizzo di analisi teorica e di analisi statistica dei dati. Il corso forma laureati in grado di prendere decisioni anche usando e interpretando sistemi complessi di dati, rendendo gli studenti adatti a ricoprire incarichi in impresa o nelle istituzioni che richiedono autonomia ed indipendenza di giudizio come ad esempio l'analista di mercato e del rischio, il tecnico marketing, consulente aziendale, ruoli di supporto informativo nelle banche di investimento e nel settore del venture capital, funzioni amministrative e di controllo nella grande impresa privata e pubblica, pianificatore di politiche pubbliche. Tra i temi che vengono affrontati particolare attenzione è dedicata allo studio delle decisioni strategiche delle imprese e delle organizzazioni, basate sulla gestione e sull'utilizzo delle grandi moli di dati rese disponibili dalle tecnologie dell'informazione. Esami di carattere giuridico, storico-economico e metodologico completano la formazione dello studente. Elemento qualificante del progetto didattico è l'utilizzo di laboratori per tradurre in esercizi applicativi quanto appreso sul piano teorico. Possibili esperienze di lavoro e di studio in Italia e all'estero arricchiscono ulteriormente l'offerta formativa. Il laureato in economia e statistica per le organizzazioni potrà così proseguire il proprio percorso di studio con una laurea magistrale offerta dall'università di Torino, oppure entrare nel mercato del lavoro con competenze adeguate, capacità di analisi teorica ed empirica."
ECONOMIC ANALYSIS AND POLICY,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/economic-analysis-and-policy,"Il Corso di Laurea Magistrale interateneo con titolo congiunto in Economic Analysis and Policy è parte integrante del programma di master Economic Policies for the Global bifurcation (EPOG-JM, sviluppato per formare studenti che abbiano competenze volte ad affrontare le sfide presenti e future della transizione economica associata alla digitalizzazione, del cambiamento climatico e delle spinte contrapposte a favore o contro la globalizzazione. La progettazione, l'implementazione e la valutazione di politiche economiche per i processi di transizione in corso richiedono esperti e ricercatori altamente qualificati, con conoscenze e abilità all'avanguardia in particolari campi, combinati con una più ampia comprensione delle interdipendenze delle politiche economiche. L'unicità del Corso di Studio in Economic Analysis and Policy si basa su questo approccio 'sistemico', ovvero la capacità di offrire ad ogni studente uno specifico campo di studio correlato al percorso prescelto, insieme a corsi, seminari e attività relative all' altro percorso."
ECONOMICS AND FINANCE WITH DATA SCIENCE,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/economics-and-finance-data-science,"Il corso di studio in Economics and Finance with Data Science offre lo studio rigoroso dell'economia e della finanza, combinato con l'apprendimento della scienza dei dati e delle sue applicazioni. L'obiettivo è quello di fornire quelle capacità analitiche e di codifica richieste alle nuove figure professionali di economisti, esperti di politica, leader aziendali e ricercatori. Inoltre il CdS si propone come corso di studio a vocazione internazionale, interamente offerto in lingua inglese. Il corso mira a formare figure professionali in grado di svolgere le funzioni di analista economico e finanziario di base e a preparare alla frequenza di corsi di laurea magistrale ad elevato livello tecnico-scientifico e professionalizzante nelle aree economica, finanziaria, attuariale, statistica e manageriale. I principali sbocchi occupazionali sono: imprese del settore assicurativo, finanziario e di gestione dei crediti (banche e compagnie di assicurazione), società di consulenza, giornalismo economico-finanziario, enti di ricerca sociale, economica e finanziaria, imprese con rilevante gestione finanziaria, imprese attive nei mercati internazionali, amministrazioni pubbliche, aziende di servizi, centri studi."
ECONOMICS OF INNOVATION FOR SUSTAINABLE DEVELOPMENT,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/economics-innovation-sustainable-development,Il corso di Laurea Magistrale in Economics of Innovation for Sustainable Development (Classe LM-56R) si configura come titolo congiunto co-gestito dal Dipartimento di Economia e Statistica Cognetti de Martiis Il corso di Laurea Magistrale con titolo congiunto ha come obiettivo generale quello di educare e formare
EDUCAZIONE PROFESSIONALE (ABILITANTE ALLA PROFESSIONE SANITARIA DI EDUCATORE PROFESSIONALE),https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/educazione-professionale-abilitante-alla-professione,"Il Corso in Educazione Professionale (abilitante alla professione sanitaria di educatore professionale, classe SNT/02) è a numero programmato sulla sede di Torino e su quella di Savigliano e coinvolge i seguenti Dipartimenti: Scienze della Sanità pubblica e Pediatriche (capofila), Filosofia e Scienze dell'Educazione, Psicologia. Per l'a.a. 2025-2026 i posti a disposizioni saranno 76 sulla sede di Torino e 35 su quella di Savigliano. I laureati in Educazione professionale progettano interventi educativi mirati al recupero e allo sviluppo delle potenzialità dei soggetti in difficoltà, contribuiscono a promuovere e organizzare strutture e risorse sociali e sanitarie, programmano, organizzano, gestiscono e verificano le loro attività professionali all'interno di servizi socio-sanitari e strutture socio-sanitarie-riabilitative in modo coordinato e integrato con altre figure professionali presenti nelle strutture."
EDUCAZIONE PROFESSIONALE (ABILITANTE ALLA PROFESSIONE SANITARIA DI EDUCATORE PROFESSIONALE),https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/educazione-professionale-abilitante-alla-professione-0,"Il Corso in Educazione Professionale (abilitante alla professione sanitaria di educatore professionale, classe SNT/02) è a numero programmato sulla sede di Torino e su quella di Savigliano e coinvolge i seguenti Dipartimenti: Scienze della Sanità pubblica e Pediatriche (capofila), Filosofia e Scienze dell'Educazione, Psicologia. Per l'a.a. 2026-2027 i posti a disposizioni saranno 76 sulla sede di Torino e 35 su quella di Savigliano. I laureati in Educazione professionale progettano interventi educativi mirati al recupero e allo sviluppo delle potenzialità dei soggetti in difficoltà, contribuiscono a promuovere e organizzare strutture e risorse sociali e sanitarie, programmano, organizzano, gestiscono e verificano le loro attività professionali all'interno di servizi socio-sanitari e strutture socio-sanitarie-riabilitative in modo coordinato e integrato con altre figure professionali presenti nelle strutture."
ENGLISH AND AMERICAN STUDIES,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/english-and-american-studies,"La Laurea magistrale in English and American Studies (LM-37) oﬀre un percorso di studi incentrato sulla lingua e la linguistica inglese, le letterature e le culture britanniche, nord-americane e postcoloniali, che vengono analizzate attraverso una prospettiva interdisciplinare e comparativa. Il corso di laurea, erogato interamente in lingua inglese, mira a formare laureati altamente competenti nell'utilizzo dell'inglese per scopi professionali, che posseggano una conoscenza approfondita delle culture e delle letterature espresse in questa lingua (con particolare riferimento al contesto britannico, nordamericano e postcoloniale), nonché di aspetti specifici della storia legata a queste culture. Inoltre, il CdS mira a formare laureati che possono accedere ai corsi di formazione per l'insegnamento di lingua inglese e delle letterature in inglese. Mira altresì a formare specialisti nel campo dell'organizzazione e del management culturale. Il corso si presenta come unico nel suo genere fra quelli oﬀerti dagli atenei del Piemonte aﬀerenti alla stessa classe (LM-37), contribuendo altresì a colmare la carenza di lauree magistrali specificamente dedicate agli studi inglesi e americani nell'oﬀerta formativa universitaria italiana, al momento disponibili solo presso l'Università di Roma “Sapienza” (LM-37 in English and Anglo-American Studies) e l'Università Ca' Foscari di Venezia (Joint Master's Degree in English and American Studies). Tra questi, solo il secondo CdS prevede insegnamenti erogati esclusivamente in lingua inglese. L'accesso al CdS è vincolato al possesso di una Laurea triennale (o titolo equivalente) e di un numero minimo di crediti nelle discipline di indirizzo. Per gli studenti in possesso di titolo italiano o europeo i requisiti minimi di ammissione previsti sono: 18 CFU in lingua e/o linguistica inglese; 18 CFU in letterature e culture britanniche, nord-americane e postcoloniali. Agli studenti in possesso di titolo extraeuropeo è invece richiesto di possedere: 10% dei crediti totali in lingua e/o linguistica inglese;"
EUROPEAN LEGAL STUDIES,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/european-legal-studies,"La laurea magistrale si rivolge a tutti coloro che aspirano ad una carriera presso organismi internazionali, amministrazioni pubbliche, imprese e start-up, associazioni, studi legali e di consulenza legale e para-legale (con particolare riferimento all'ambito del rapporto fra diritto e tecnologie), organizzazioni non governative, giornalismo specializzato, settore dell'insegnamento e della ricerca, che richiedono una conoscenza specialistica del diritto e della governance europea anche a proiezione internazionale. Il percorso si giova di scambi con Università straniere concepiti per un accesso al mondo del lavoro anche in altri Stati dell'UE. Scopri gli sbocchi occupazionali che il tuo corso di studi ti offre sul sito dell'Atlante delle Professioni."
EVOLUZIONE DEL COMPORTAMENTO ANIMALE E DELL'UOMO,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/evoluzione-del-comportamento-animale-e-delluomo,"Lo studio del comportamento animale è un ramo in forte espansione delle scienze biologiche. Le ricerche sul comportamento animale e dell'uomo hanno un forte impatto sulla società: producono conoscenze importanti per il miglioramento della qualità della vita e la salvaguardia della fauna. L'obiettivo formativo della Laurea Magistrale ECAU consiste nella formazione di specialisti che avendo acquisito la capacità di svolgere attività di ricerca di etologia di base ed applicata, possano ovviare alla scarsità sul mercato del lavoro di una figura professionale che abbia specifiche competenze nello studio delle modalità attraverso le quali le diverse componenti dei sistemi naturali influenzino i comportamenti manifestati dagli animali e dall'uomo, oltre che delle interazioni uomo-animale. - una solida preparazione culturale e metodologica nell'analisi di tutti i fattori che determinano l'espressione del comportamento: dai fattori morfo-fisiologici e genetici a quelli sociali ed ecologici;"
"FILOLOGIA, LETTERATURE E STORIA DELL'ANTICHITÀ",https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/filologia-letterature-e-storia-dellantichita,"Il Corso di Laurea Magistrale in Filologia, letterature e storia dell'antichità consente a studenti e studentesse di conoscere, attraverso le più aggiornate metodologie scientifiche, i testi della civiltà classica direttamente nelle lingue originali, di sottoporli ad analisi dal punto di vista linguistico, letterario, filologico, storico, e di studiarne i testimoni dal punto di vista codicologico e paleografico; di tradurre, commentare e interpretare i testi delle letterature in lingua latina e greca dalle rispettive origini fino ai loro esiti medievali e umanistici. Studentesse e studenti potranno acquisire inoltre conoscenze e competenze nel lavoro interdisciplinare, anche finalizzate allo studio della ricezione dell'antico fino all'età moderna e contemporanea, alla didattica delle discipline umanistiche o all'informatica umanistica. Il Corso di Laurea Magistrale in Filologia, letterature e storia dell'antichità ha durata biennale: nel primo anno, lo studente/la studentessa consolida e approfondisce le proprie conoscenze e competenze di base attraverso le discipline caratterizzanti (linguistiche, filologiche, letterarie, storiche) relative agli studi classici; nel secondo anno, lo studente/la studentessa prosegue nell'approfondimento delle conoscenze e competenze individuali soprattutto in ambito seminariale, anche in prospettiva interdisciplinare, e attraverso la preparazione di sintetici elaborati scritti sugli argomenti di studio; è inoltre impegnato/impegnata a redigere la tesi per la prova finale. 1. Le studentesse e gli studenti che intendono iscriversi al Corso di Laurea Magistrale in Filologia, letterature e storia dell'antichità devono essere in possesso della Laurea o del diploma universitario di durata triennale o di altro titolo conseguito all'estero, riconosciuto idoneo in base alla normativa vigente. Le studentesse e gli studenti devono inoltre essere in possesso dei requisiti curriculari e di adeguata preparazione personale di cui ai successivi commi 2 e 3, non essendo prevista l'iscrizione con carenze formative. Chi abbia già conseguito la laurea o chi preveda di laurearsi entro la fine di dicembre deve presentare domanda di ammissione preliminare mediante l'apposita procedura online, prima di effettuare la procedura di iscrizione."
FINANZA AZIENDALE E MERCATI FINANZIARI,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/finanza-aziendale-e-mercati-finanziari,"Il corso di laurea magistrale in Finanza aziendale e mercati finanziari rivolto a studenti che intendono inserirsi in aziende le cui dimensioni e caratteristiche gestionali impongono una particolare attenzione alle problematiche finanziarie ordinarie e straordinarie oppure in imprese finanziarie operanti nel campo dell'intermediazione finanziaria diretta (i mercati mobiliari) e/o indiretta (gli intermediari creditizi, mobiliari o assicurativi). Ciò premesso, i laureati del corso di laurea magistrale in Finanza aziendale e mercati finanziari devono: - possedere un'approfondita conoscenza in ambito economico-aziendale, matematico-statistico e giuridico, al fine di sviluppare le necessarie capacità per comprendere come i manager e le aziende possano assumere decisioni che creano valore in campo finanziario;"
FISICA DEI SISTEMI COMPLESSI,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/fisica-dei-sistemi-complessi,"La Laurea Magistrale in Fisica dei sistemi complessi fornisce una preparazione specialistica rivolta allo studio e alla modellizzazione di sistemi e fenomeni complessi naturali e antropici, in particolare nell'ambito della fisica dei fluidi e del clima, dell'econofisica, della biologia computazionale e della computazione e informazione quantistica con una particolare attenzione al settore emergente dell'intelligenza artificiale. Lo studio dei sistemi complessi richiede un approccio interdisciplinare ed è sulla frontiera tra varie discipline che si collocano gli indirizzi didattici del corso, coinvolgendo, oltre alla fisica, competenze di matematica, informatica, biologia e scienze economiche e sociali. Il Corso di Laurea Magistrale in Fisica dei Sistemi Complessi è ad accesso non programmato. Per le pratiche relative all'iscrizione seguire le istruzioni pubblicate sul sito dell'Ateneo."
FISIOTERAPIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI FISIOTERAPISTA),https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/fisioterapia-abilitante-alla-professione-sanitaria-di,"I laureati in fisioterapista sono professionisti sanitari cui competono le attribuzioni previste dal D.M. del Ministero della sanità 14 settembre 1994, n. 741 e successive modificazioni ed integrazioni. Svolgono, in via autonoma o in collaborazione con altre figure sanitarie, gli interventi di prevenzione, cura e riabilitazione nelle aree della motricità, delle funzioni corticali superiori, e di quelle viscerali conseguenti a eventi patologici, a varia eziologia, congenita od acquisita. I fisioterapisti, in riferimento alla diagnosi ed alle prescrizioni del medico, nell'ambito delle loro competenze, elaborano, anche in équipe multidisciplinare, la definizione del programma di riabilitazione volto all'individuazione ed al superamento del bisogno di salute del disabile; praticano autonomamente attività terapeutica per la rieducazione funzionale delle disabilità motorie, psicomotorie e cognitive utilizzando terapie fisiche, manuali, massoterapiche e occupazionali; propongono l'adozione di protesi ed ausili, ne addestrano all'uso e ne verificano l'efficacia; verificano le rispondenze della metodologia riabilitativa attuata agli obiettivi di recupero funzionale; svolgono attività di studio, didattica e consulenza professionale, nei servizi sanitari ed in quelli dove si richiedono le loro competenze professionali; svolgono la loro attività professionale in strutture sanitarie, pubbliche o private, in regime di dipendenza o libero-professionale."
GEOGRAFIA E SCIENZE TERRITORIALI,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/geografia-e-scienze-territoriali,"La laurea magistrale interateneo in Geografia e scienze territoriali è orientata alla formazione di figure professionali in grado di integrare conoscenze culturali, tecniche e progettuali nell'analisi, organizzazione e gestione del territorio e dell'ambiente, sia in ambito nazionale che internazionale. A questo scopo, il percorso di studi prevede al primo anno alcuni insegnamenti volti all'acquisizione di conoscenze della geografia fisica e della geografia umana fondamentali per comprendere, alle diverse scale, i fenomeni ambientali e sociali connessi ai processi di 'Global change', unitamente ad altri insegnamenti finalizzati all'apprendimento dei principali strumenti informatici per la rappresentazione, l'analisi e la gestione del territorio. Al secondo anno, gli studenti possono quindi orientare i propri studi verso temi più specifici, a seconda della personale attitudine e dei propri interessi professionali, ma comunque riferibili in generale alle politiche di risposta agli scenari del cambiamento globale e riconducibili alle seguenti aree di apprendimento:"
GEORISORSE E GESTIONE ECOSOSTENIBILE D’IMPRESA,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/georisorse-e-gestione-ecosostenibile-dimpresa,"Il corso di Laurea Magistrale in “Georisorse e gestione ecosostenibile d'impresa” (ECOGEST) nasce in risposta all'esigenza di una professionalità in grado di coniugare, all'interno di una azienda, le tematiche tecniche e di gestione economica della sostenibilità. Il focus del corso è relativo alle georisorse e a tutto quanto vi ruota intorno, dall'approvvigionamento delle commodities alla certificazione della sostenibilità imprenditoriale, ma le competenze acquisite potranno estendersi alla gestione dell'eco-sostenibilità aziendale in generale. Il corso è finalizzato all'inserimento del futuro laureato in ambito aziendale, con l'attivazione di tirocini obbligatori in azienda. Il corso è interdipartimentale. Il Dipartimento proponente come capofila è il Dipartimento di Scienze della Terra; il Dipartimento di Management è co-proponente. Il percorso di formazione prevede un insieme di insegnamenti di ambito economico, statistico e di giurisprudenza (SECSP,SECS-S, IUS), a cui si associa un insieme di insegnamenti prevalentemente articolati nei settori delle scienze della Terra (GEO), ma anche biologici e ingegneristici, finalizzati a fornire quella preparazione interdisciplinare necessaria per affrontare correttamente i temi sulla sostenibilità."
GEOSCIENZE PER I CAMBIAMENTI GLOBALI E LA SOSTENIBILITA',https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/geoscienze-i-cambiamenti-globali-e-la-sostenibilita,"Il corso di laurea magistrale in Geoscienze per i cambiamenti globali e la sostenibilità fornisce conoscenze e competenze di tipo specialistico finalizzate a elaborare soluzioni e a sviluppare strategie per risolvere problematiche connesse in particolare ai cambiamenti climatici e ambientali, alla gestione sostenibile del territorio e delle georisorse, e per contribuire alla valutazione, gestione e mitigazione dei rischi naturali, anche di carattere antropogenico, e alla tutela del patrimonio culturale e della salute pubblica. Vuole inoltre coniugare solide competenze di carattere geologico tradizionale con competenze innovative finalizzate alle applicazioni delle geoscienze per rispondere ai bisogni dell'ambiente e della società. Georisorse, cambiamenti climatici e sviluppo sostenibile: Il curriculum prevede, nel primo anno, attività formative di ambito geologico, paleontologico, geomorfologico e minero-petrografiche, che consentiranno di acquisire conoscenze e competenze specialistiche per la gestione e l'utilizzo sostenibile delle risorse nonché approfondire le strutture geologiche anche a fini applicativi con strumenti tecnologici, in un'ottica di cambiamenti globali. Nel secondo anno le attività formative sono di carattere geochimico - vulcanologico, geologico applicativo, geomorfologico, minero-petrografico e geofisico. Gli insegnamenti di questo curriculum sono offerti prevalentemente in lingua inglese. Geotecnologie per la gestione sostenibile del territorio e dell'ambiente: Il curriculum prevede, nel primo anno, attività formative volte all'acquisizione di conoscenze e competenze specialistiche sui rischi naturali e sulle applicazioni della geologia. Nel secondo anno, il percorso si concentra su insegnamenti di carattere geologico-applicativo, geofisico e geotecnico. Gli insegnamenti di questo curriculum sono offerti prevalentemente in lingua italiana."
GIURISPRUDENZA,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/giurisprudenza-0,"Il Corso di laurea magistrale a ciclo unico in Giurisprudenza è attivato presso la Facoltà (ora Dipartimento) di Giurisprudenza dall'a.a. 2006-2007. Il Corso di studio è attualmente il solo ad aprire l'accesso alle professioni giuridiche tradizionali. Pertanto i profili professionali che esso è chiamato in via principale a formare sono quelli di: avvocato, magistrato, notaio, per i quali tuttavia il conseguimento della laurea non dà immediatamente accesso all'attività lavorativa, richiedendosi, in base alla vigente normativa, un periodo ulteriore di formazione e comunque il conseguimento dell'abilitazione professionale o il superamento di un pubblico concorso. Il Corso di studio si prefigge inoltre di formare le competenze necessarie a favorire l'inserimento dei laureati in ogni altra attività professionale, autonoma o subordinata, caratterizzata da funzioni di elevata responsabilità, per la quale sia necessaria una conoscenza approfondita del diritto associata a capacità di analisi, di valutazione e di decisione, con speciale riguardo al settore delle imprese, pubbliche e private, della pubblica amministrazione, delle istituzioni comunitarie e delle organizzazioni internazionali."
GIURISPRUDENZA,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/giurisprudenza,"Il Corso di laurea magistrale a ciclo unico in Giurisprudenza è attivato presso la Facoltà (ora Dipartimento) di Giurisprudenza dall'a.a. 2006-2007. Il Corso di studio è attualmente il solo ad aprire l'accesso alle professioni giuridiche tradizionali. Pertanto i profili professionali che esso è chiamato in via principale a formare sono quelli di: avvocato, magistrato, notaio, per i quali tuttavia il conseguimento della laurea non dà immediatamente accesso all'attività lavorativa, richiedendosi, in base alla vigente normativa, un periodo ulteriore di formazione e comunque il conseguimento dell'abilitazione professionale o il superamento di un pubblico concorso. Il Corso di studio si prefigge inoltre di formare le competenze necessarie a favorire l'inserimento dei laureati in ogni altra attività professionale, autonoma o subordinata, caratterizzata da funzioni di elevata responsabilità, per la quale sia necessaria una conoscenza approfondita del diritto associata a capacità di analisi, di valutazione e di decisione, con speciale riguardo al settore delle imprese, pubbliche e private, della pubblica amministrazione, delle istituzioni comunitarie e delle organizzazioni internazionali."
GLOBAL LAW AND TRANSNATIONAL LEGAL STUDIES,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/global-law-and-transnational-legal-studies,"Il CdS qui proposto non fornisce, esclusivamente, una conoscenza giuridica settoriale e specialistica, avulsa dalle intersezioni culturali che oggi si sperimentano nelle più avanzate istituzioni universitarie. Al contrario il CdS mira all'aumento della qualità e dell'efficacia della didattica anche nei suoi aspetti di interdisciplinarità e di innovazione delle metodologie didattiche. Il CdS triennale ha l'obiettivo di fornire le competenze e le conoscenze necessarie a operare con efficacia nelle diverse professioni che costituiscono il campo di azione degli attori del diritto in un contesto globale. L'obiettivo del CdS è infatti quello di formare laureati in grado di svolgere compiti professionali estremamente variegati: dal lavoro di impresa nelle divisioni legali - e non solo - di grandi organizzazioni multinazionali, alla carriera istituzionale in ambito internazionale; dal lavoro di consulenza giuridica qualificata in imprese/banche e servizi a quello per il mondo delle ONG e del terzo settore."
